DATE,KVAR,R-KWH,DEMAND,KWH,AMT
07/01/2020,806.8,8.72,1345.7,597299,52077.58
06/01/2020,756,8.92,1279.8,528997,47160.67
05/01/2020,468.7,8.34,843.5,448229,37401.86
04/01/2020,426.6,8.42,813.2,424903,35761.24
03/01/2020,403.9,8.29,812.2,434717,36044.62
02/01/2020,368.3,8.17,751.7,412948,33728.3
01/01/2020,338,7.92,753.8,527639,41810.55
12/01/2019,332.6,7.93,764.6,395628,31390.39
11/01/2019,483.8,7.54,880.2,450590,33961.67
10/01/2019,733.3,7.77,1218.2,558170,43390.76
09/01/2019,744.1,8.41,1282,551128,46340.73
08/01/2019,788.4,9.23,1278.7,609653,56273.51
07/01/2019,765.7,9.28,1299.2,643464,59688.37
06/01/2019,641.5,9.4,1081.1,534542,50239.35
05/01/2019,624.2,9.43,1069.2,518708,48919.33
04/01/2019,451.4,9.16,825.1,455699,41758.65
03/01/2019,362.9,9.12,818.6,453748,41387.02
02/01/2019,389.9,8.92,779.8,469352,41860.86
01/01/2019,361.8,8.72,771.1,476555,41574.95
12/01/2018,311,8.6,761.4,442220,38024.51
11/01/2018,392,8.63,808.9,471400,40677.53
10/01/2018,892.1,9.03,1318.7,608446,54916.67
09/01/2018,933.1,8.99,1450.4,666660,59954.9
08/01/2018,893.2,8.93,1421.3,671666,59984.76
