Time_Stamp,Compressor Running %,Compressor Motor Current (Amps),Compressed Motor Speed (RPM),Compressor Motor Voltage (Volts),Compressor Discharge Pressure (PSI),Compressed Air Pressure near distribution header (PSI),Compressed Air Stream Temperature near distribution header (F),Unnamed: 15,Unnamed: 16,Unnamed: 17,compressor_KWH,Avg_Current_SM1,Avg_Voltage_SM1,Avg_Current_SM4,Avg_Voltage_SM4,Avg_Current_SM7,Avg_Voltage_SM7,KWH_SM1,KWH_SM4,KWH_SM7,KW,KVAR,KVA,PF,KWH, 
1/1/2020 00:30,,,,,,,,,,,,,,,,,,,,,400.68,276.48,486.81,0.8231,200.34, 
1/1/2020 01:00,,,,,,,,,,,,,,,,,,,,,403.92,276.48,489.48,0.8252,201.96, 
1/1/2020 01:30,,,,,,,,,,,,,,,,,,,,,411.48,278.64,496.95,0.8280,205.74, 
1/1/2020 02:00,,,,,,,,,,,,,,,,,,,,,408.24,277.56,493.66,0.8270,204.12, 
1/1/2020 02:30,,,,,,,,,,,,,,,,,,,,,405.00,279.72,492.21,0.8228,202.5, 
1/1/2020 03:00,,,,,,,,,,,,,,,,,,,,,402.84,278.64,489.82,0.8224,201.42, 
1/1/2020 03:30,,,,,,,,,,,,,,,,,,,,,412.56,282.96,500.27,0.8247,206.28, 
1/1/2020 04:00,,,,,,,,,,,,,,,,,,,,,398.52,275.4,484.42,0.8227,199.26, 
1/1/2020 04:30,,,,,,,,,,,,,,,,,,,,,405.00,276.48,490.37,0.8259,202.5, 
1/1/2020 05:00,,,,,,,,,,,,,,,,,,,,,403.92,276.48,489.48,0.8252,201.96, 
1/1/2020 05:30,,,,,,,,,,,,,,,,,,,,,419.04,280.8,504.42,0.8307,209.52, 
1/1/2020 06:00,,,,,,,,,,,,,,,,,,,,,400.68,272.16,484.37,0.8272,200.34, 
1/1/2020 06:30,,,,,,,,,,,,,,,,,,,,,396.36,271.08,480.19,0.8254,198.18, 
1/1/2020 07:00,,,,,,,,,,,,,,,,,,,,,416.88,273.24,498.45,0.8364,208.44, 
1/1/2020 07:30,,,,,,,,,,,,,,,,,,,,,401.76,270.0,484.06,0.8300,200.88, 
1/1/2020 08:00,,,,,,,,,,,,,,,,,,,,,401.76,270.0,484.06,0.8300,200.88, 
1/1/2020 08:30,,,,,,,,,,,,,,,,,,,,,403.92,274.32,488.27,0.8273,201.96, 
1/1/2020 09:00,,,,,,,,,,,,,,,,,,,,,407.16,277.56,492.77,0.8263,203.58, 
1/1/2020 09:30,,,,,,,,,,,,,,,,,,,,,398.52,274.32,483.81,0.8237,199.26, 
1/1/2020 10:00,,,,,,,,,,,,,,,,,,,,,402.84,271.08,485.56,0.8296,201.42, 
1/1/2020 10:30,,,,,,,,,,,,,,,,,,,,,406.08,274.32,490.05,0.8286,203.04, 
1/1/2020 11:00,,,,,,,,,,,,,,,,,,,,,397.44,273.24,482.31,0.8240,198.72, 
1/1/2020 11:30,,,,,,,,,,,,,,,,,,,,,405.00,276.48,490.37,0.8259,202.5, 
1/1/2020 12:00,,,,,,,,,,,,,,,,,,,,,411.48,276.48,495.74,0.8300,205.74, 
1/1/2020 12:30,,,,,,,,,,,,,,,,,,,,,407.16,278.64,493.38,0.8253,203.58, 
1/1/2020 13:00,,,,,,,,,,,,,,,,,,,,,396.36,275.4,482.65,0.8212,198.18, 
1/1/2020 13:30,,,,,,,,,,,,,,,,,,,,,397.44,275.4,483.53,0.8220,198.72, 
1/1/2020 14:00,,,,,,,,,,,,,,,,,,,,,405.00,276.48,490.37,0.8259,202.5, 
1/1/2020 14:30,,,,,,,,,,,,,,,,,,,,,394.20,278.64,482.74,0.8166,197.1, 
1/1/2020 15:00,,,,,,,,,,,,,,,,,,,,,401.76,277.56,488.31,0.8227,200.88, 
1/1/2020 15:30,,,,,,,,,,,,,,,,,,,,,399.60,282.96,489.64,0.8161,199.8, 
1/1/2020 16:00,,,,,,,,,,,,,,,,,,,,,390.96,275.4,478.22,0.8175,195.48, 
1/1/2020 16:30,,,,,,,,,,,,,,,,,,,,,396.36,273.24,481.42,0.8233,198.18, 
1/1/2020 17:00,,,,,,,,,,,,,,,,,,,,,397.44,266.76,478.66,0.8303,198.72, 
1/1/2020 17:30,,,,,,,,,,,,,,,,,,,,,397.44,263.52,476.87,0.8334,198.72, 
1/1/2020 18:00,,,,,,,,,,,,,,,,,,,,,403.92,250.56,475.32,0.8498,201.96, 
1/1/2020 18:30,,,,,,,,,,,,,,,,,,,,,397.44,249.48,469.25,0.8470,198.72, 
1/1/2020 19:00,,,,,,,,,,,,,,,,,,,,,406.08,251.64,477.73,0.8500,203.04, 
1/1/2020 19:30,,,,,,,,,,,,,,,,,,,,,411.48,253.8,483.46,0.8511,205.74, 
1/1/2020 20:00,,,,,,,,,,,,,,,,,,,,,407.16,254.88,480.36,0.8476,203.58, 
1/1/2020 20:30,,,,,,,,,,,,,,,,,,,,,395.28,253.8,469.75,0.8415,197.64, 
1/1/2020 21:00,,,,,,,,,,,,,,,,,,,,,397.44,254.88,472.15,0.8418,198.72, 
1/1/2020 21:30,,,,,,,,,,,,,,,,,,,,,401.76,258.12,477.53,0.8413,200.88, 
1/1/2020 22:00,,,,,,,,,,,,,,,,,,,,,408.24,261.36,484.74,0.8422,204.12, 
1/1/2020 22:30,,,,,,,,,,,,,,,,,,,,,399.60,262.44,478.07,0.8359,199.8, 
1/1/2020 23:00,,,,,,,,,,,,,,,,,,,,,406.08,264.6,484.68,0.8378,203.04, 
1/1/2020 23:30,,,,,,,,,,,,,,,,,,,,,407.16,266.76,486.77,0.8365,203.58, 
1/1/2020 24:00,,,,,,,,,,,,,,,,,,,,,398.52,267.84,480.16,0.8300,199.26, 
1/10/2020 00:30,,,,,,,,,,,,,,,,,,,,,598.32,302.4,670.40,0.8925,299.16, 
1/10/2020 01:00,,,,,,,,,,,,,,,,,,,,,583.20,291.6,652.04,0.8944,291.6, 
1/10/2020 01:30,,,,,,,,,,,,,,,,,,,,,583.20,294.84,653.49,0.8924,291.6, 
1/10/2020 02:00,,,,,,,,,,,,,,,,,,,,,581.04,297.0,652.55,0.8904,290.52, 
1/10/2020 02:30,,,,,,,,,,,,,,,,,,,,,572.40,297.0,644.86,0.8876,286.2, 
1/10/2020 03:00,,,,,,,,,,,,,,,,,,,,,557.28,295.92,630.98,0.8832,278.64, 
1/10/2020 03:30,,,,,,,,,,,,,,,,,,,,,576.72,298.08,649.20,0.8884,288.36, 
1/10/2020 04:00,,,,,,,,,,,,,,,,,,,,,579.96,295.92,651.09,0.8907,289.98, 
1/10/2020 04:30,,,,,,,,,,,,,,,,,,,,,576.72,287.28,644.31,0.8951,288.36, 
1/10/2020 05:00,,,,,,,,,,,,,,,,,,,,,569.16,279.72,634.18,0.8975,284.58, 
1/10/2020 05:30,,,,,,,,,,,,,,,,,,,,,599.40,285.12,663.76,0.9030,299.7, 
1/10/2020 06:00,,,,,,,,,,,,,,,,,,,,,609.12,277.56,669.38,0.9100,304.56, 
1/10/2020 06:30,,,,,,,,,,,,,,,,,,,,,622.08,274.32,679.88,0.9150,311.04, 
1/10/2020 07:00,,,,,,,,,,,,,,,,,,,,,639.36,280.8,698.30,0.9156,319.68, 
1/10/2020 07:30,,,,,,,,,,,,,,,,,,,,,653.40,286.2,713.33,0.9160,326.7, 
1/10/2020 08:00,,,,,,,,,,,,,,,,,,,,,654.48,289.44,715.63,0.9146,327.24, 
1/10/2020 08:30,,,,,,,,,,,,,,,,,,,,,637.20,286.2,698.52,0.9122,318.6, 
