Time_Stamp,Compressor Running %,Compressor Motor Current (Amps),Compressed Motor Speed (RPM),Compressor Motor Voltage (Volts),Compressor Discharge Pressure (PSI),Compressed Air Pressure near distribution header (PSI),Compressed Air Stream Temperature near distribution header (F),Unnamed: 15,Unnamed: 16,Unnamed: 17,compressor_KWH,Avg_Current_SM1,Avg_Voltage_SM1,Avg_Current_SM4,Avg_Voltage_SM4,Avg_Current_SM7,Avg_Voltage_SM7,KWH_SM1,KWH_SM4,KWH_SM7,KW,KVAR,KVA,PF,KWH, 
2020-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,398.52,267.84,480.16,0.83,199.26, 
2020-01-01 00:30:00,,,,,,,,,,,,,,,,,,,,,400.68,276.48,486.81,0.8231,200.34, 
2020-01-01 01:00:00,,,,,,,,,,,,,,,,,,,,,403.92,276.48,489.48,0.8252,201.96, 
2020-01-01 01:30:00,,,,,,,,,,,,,,,,,,,,,411.48,278.64,496.95,0.828,205.74, 
2020-01-01 02:00:00,,,,,,,,,,,,,,,,,,,,,408.24,277.56,493.66,0.827,204.12, 
2020-01-01 02:30:00,,,,,,,,,,,,,,,,,,,,,405,279.72,492.21,0.8228,202.5, 
2020-01-01 03:00:00,,,,,,,,,,,,,,,,,,,,,402.84,278.64,489.82,0.8224,201.42, 
2020-01-01 03:30:00,,,,,,,,,,,,,,,,,,,,,412.56,282.96,500.27,0.8247,206.28, 
2020-01-01 04:00:00,,,,,,,,,,,,,,,,,,,,,398.52,275.4,484.42,0.8227,199.26, 
2020-01-01 04:30:00,,,,,,,,,,,,,,,,,,,,,405,276.48,490.37,0.8259,202.5, 
2020-01-01 05:00:00,,,,,,,,,,,,,,,,,,,,,403.92,276.48,489.48,0.8252,201.96, 
2020-01-01 05:30:00,,,,,,,,,,,,,,,,,,,,,419.04,280.8,504.42,0.8307,209.52, 
2020-01-01 06:00:00,,,,,,,,,,,,,,,,,,,,,400.68,272.16,484.37,0.8272,200.34, 
2020-01-01 06:30:00,,,,,,,,,,,,,,,,,,,,,396.36,271.08,480.19,0.8254,198.18, 
2020-01-01 07:00:00,,,,,,,,,,,,,,,,,,,,,416.88,273.24,498.45,0.8364,208.44, 
2020-01-01 07:30:00,,,,,,,,,,,,,,,,,,,,,401.76,270.0,484.06,0.83,200.88, 
2020-01-01 08:00:00,,,,,,,,,,,,,,,,,,,,,401.76,270.0,484.06,0.83,200.88, 
2020-01-01 08:30:00,,,,,,,,,,,,,,,,,,,,,403.92,274.32,488.27,0.8273,201.96, 
2020-01-01 09:00:00,,,,,,,,,,,,,,,,,,,,,407.16,277.56,492.77,0.8263,203.58, 
2020-01-01 09:30:00,,,,,,,,,,,,,,,,,,,,,398.52,274.32,483.81,0.8237,199.26, 
2020-01-01 10:00:00,,,,,,,,,,,,,,,,,,,,,402.84,271.08,485.56,0.8296,201.42, 
2020-01-01 10:30:00,,,,,,,,,,,,,,,,,,,,,406.08,274.32,490.05,0.8286,203.04, 
2020-01-01 11:00:00,,,,,,,,,,,,,,,,,,,,,397.44,273.24,482.31,0.824,198.72, 
2020-01-01 11:30:00,,,,,,,,,,,,,,,,,,,,,405,276.48,490.37,0.8259,202.5, 
2020-01-01 12:00:00,,,,,,,,,,,,,,,,,,,,,411.48,276.48,495.74,0.83,205.74, 
2020-01-01 12:30:00,,,,,,,,,,,,,,,,,,,,,407.16,278.64,493.38,0.8253,203.58, 
